PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2015;2016;2017;2018;2019
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;duaal onderwijs;hbo bachelor;man;4;3;4;10;5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;duaal onderwijs;hbo bachelor;vrouw;0;0;0;0;3
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;man;6;12;8;10;8
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;vrouw;2;2;3;2;3
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;hbo associate degree;man;3;6;8;10;11
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;hbo associate degree;vrouw;0;0;2;1;1
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;hbo associate degree;man;0;0;10;35;35
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;hbo associate degree;vrouw;0;0;0;2;2
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30009;B Toegepaste Biologie;voltijd onderwijs;hbo bachelor;man;11;12;22;28;37
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30009;B Toegepaste Biologie;voltijd onderwijs;hbo bachelor;vrouw;5;10;19;26;39
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30033;B Geo Media & Design;voltijd onderwijs;hbo bachelor;man;0;11;3;5;4
